order_id,order_date,region,transport_mode,distance_km,shipment_volume_kg,promised_days,delivery_time_days,delay_days,transport_cost_inr,on_time
ORD0262,2026-01-01 10:55:53,West,Rail,199.4,562.1,2,1.88,-0.12,8954,1
ORD0209,2026-01-01 12:06:25,North,Road,166.1,370.6,3,2.35,-0.65,8168,1
ORD0128,2026-01-01 13:36:24,West,Road,96.4,1101.2,2,1.28,-0.72,7909,1
ORD0255,2026-01-01 16:58:07,West,Air,275.5,538.7,4,2.69,-1.31,12284,1
ORD0068,2026-01-01 18:55:48,North,Road,275.2,1133.3,3,2.29,-0.71,11831,1
ORD0333,2026-01-01 19:48:15,North,Road,71.5,346.1,3,1.92,-1.08,6571,1
ORD0046,2026-01-01 23:30:54,West,Air,202.1,592.6,3,2.35,-0.65,15857,1
ORD0027,2026-01-02 04:42:35,North,Road,240.8,376.2,3,2.12,-0.88,11148,1
ORD0214,2026-01-02 06:25:56,East,Rail,81.0,603.0,4,2.77,-1.23,5369,1
ORD0307,2026-01-02 06:34:38,West,Air,239.4,574.4,3,2.38,-0.62,15772,1
ORD0425,2026-01-02 08:19:41,South,Road,318.7,502.4,4,3.27,-0.73,12057,1
ORD0276,2026-01-03 14:34:41,East,Road,80.8,1101.3,3,2.74,-0.26,8159,1
ORD0092,2026-01-04 03:30:36,East,Road,134.0,439.5,4,2.89,-1.11,5809,1
ORD0240,2026-01-05 15:51:30,West,Rail,100.6,987.7,3,2.16,-0.84,11201,1
ORD0269,2026-01-05 19:48:00,West,Road,83.6,748.6,3,1.7,-1.3,4856,1
ORD0483,2026-01-06 03:38:21,North,Rail,152.0,994.3,4,2.27,-1.73,8643,1
ORD0166,2026-01-06 16:27:14,North,Road,88.7,734.9,2,0.8,-1.2,5681,1
ORD0382,2026-01-06 19:12:37,South,Air,78.2,386.3,2,1.49,-0.51,6915,1
ORD0224,2026-01-07 06:38:55,East,Rail,442.4,567.7,4,3.76,-0.24,16568,1
ORD0346,2026-01-07 10:03:14,North,Road,183.5,791.4,3,2.04,-0.96,11564,1
ORD0105,2026-01-07 12:51:25,North,Road,36.0,620.7,3,1.93,-1.07,3522,1
ORD0402,2026-01-08 03:47:47,South,Road,153.6,627.3,3,1.65,-1.35,6429,1
ORD0356,2026-01-08 22:49:36,South,Rail,519.7,539.4,6,4.55,-1.45,18311,1
ORD0478,2026-01-08 23:08:25,West,Road,226.2,327.8,3,1.92,-1.08,10453,1
ORD0186,2026-01-09 21:46:38,West,Air,175.1,532.7,1,0.85,-0.15,11454,1
ORD0381,2026-01-10 03:59:31,West,Air,124.3,869.4,2,1.37,-0.63,9920,1
ORD0275,2026-01-10 09:52:48,North,Road,261.0,484.1,3,2.21,-0.79,13379,1
ORD0340,2026-01-10 13:23:36,South,Rail,256.2,281.1,5,3.68,-1.32,10938,1
ORD0193,2026-01-11 02:52:51,North,Road,187.0,972.5,3,1.99,-1.01,6694,1
ORD0323,2026-01-11 12:58:01,North,Air,176.4,267.3,3,1.76,-1.24,13037,1
ORD0198,2026-01-12 06:25:48,South,Road,168.4,856.5,4,2.51,-1.49,11043,1
ORD0151,2026-01-12 12:41:47,East,Rail,469.0,867.6,5,3.53,-1.47,17809,1
ORD0109,2026-01-12 15:48:13,West,Rail,205.0,463.9,4,3.46,-0.54,12064,1
ORD0101,2026-01-13 02:46:37,North,Air,325.3,753.9,3,1.0,-2.0,18337,1
ORD0491,2026-01-13 19:05:34,West,Road,386.1,337.1,4,2.74,-1.26,12941,1
ORD0294,2026-01-13 22:50:43,North,Air,63.1,625.9,2,1.37,-0.63,9148,1
ORD0223,2026-01-14 21:44:42,South,Rail,384.3,960.5,5,4.26,-0.74,13304,1
ORD0362,2026-01-15 08:44:42,North,Road,130.1,514.7,2,0.94,-1.06,8947,1
ORD0028,2026-01-15 14:45:52,East,Air,106.9,574.8,3,1.59,-1.41,8353,1
ORD0099,2026-01-15 17:15:41,West,Road,52.2,590.4,2,1.49,-0.51,5942,1
ORD0123,2026-01-15 20:59:20,West,Rail,183.5,884.7,3,1.64,-1.36,11841,1
ORD0253,2026-01-17 00:30:50,East,Rail,205.2,930.9,5,3.45,-1.55,11114,1
ORD0482,2026-01-17 08:54:26,East,Road,139.1,478.6,3,2.99,-0.01,7507,1
ORD0439,2026-01-17 09:56:15,South,Rail,52.3,925.1,4,2.9,-1.1,9215,1
ORD0127,2026-01-17 11:57:52,South,Rail,56.8,840.8,3,1.93,-1.07,4506,1
ORD0067,2026-01-17 23:08:09,North,Road,163.5,840.8,3,2.14,-0.86,13077,1
ORD0259,2026-01-18 07:36:16,South,Air,100.0,806.7,3,1.72,-1.28,12335,1
ORD0132,2026-01-18 09:53:04,West,Road,593.9,376.8,4,2.8,-1.2,22218,1
ORD0426,2026-01-18 14:41:41,North,Road,237.5,463.3,3,1.67,-1.33,10185,1
ORD0287,2026-01-19 01:48:49,West,Air,555.1,264.2,5,3.36,-1.64,22372,1
ORD0215,2026-01-19 05:39:17,South,Road,49.5,623.3,4,2.62,-1.38,3833,1
ORD0372,2026-01-19 06:39:19,South,Road,128.2,771.9,4,2.94,-1.06,8379,1
ORD0324,2026-01-19 14:33:38,East,Road,239.8,674.5,4,3.08,-0.92,10140,1
ORD0313,2026-01-20 04:51:06,South,Rail,280.9,777.1,5,3.87,-1.13,11854,1
ORD0305,2026-01-20 05:38:29,South,Road,117.0,963.7,2,1.77,-0.23,9160,1
ORD0409,2026-01-20 18:25:23,North,Rail,77.2,603.7,3,2.62,-0.38,6088,1
ORD0139,2026-01-21 02:31:35,South,Rail,87.3,634.4,3,1.68,-1.32,5931,1
ORD0022,2026-01-21 10:48:11,East,Air,193.5,633.4,3,2.15,-0.85,15346,1
ORD0119,2026-01-21 11:00:40,South,Rail,51.6,590.8,3,2.47,-0.53,1500,1
ORD0069,2026-01-22 03:07:45,West,Air,158.3,662.3,2,0.8,-1.2,11514,1
ORD0081,2026-01-22 15:42:08,South,Road,161.0,808.5,2,1.76,-0.24,7073,1
ORD0308,2026-01-23 04:07:11,West,Road,110.6,758.3,3,2.06,-0.94,6730,1
ORD0246,2026-01-23 14:48:29,West,Road,69.5,574.7,2,1.01,-0.99,7023,1
ORD0048,2026-01-23 14:52:34,East,Road,357.4,617.0,4,3.41,-0.59,12945,1
ORD0423,2026-01-23 22:58:29,South,Road,77.8,603.5,3,2.43,-0.57,5065,1
ORD0480,2026-01-24 00:32:53,East,Road,308.3,953.0,4,3.13,-0.87,14468,1
ORD0312,2026-01-24 05:49:47,North,Air,232.5,723.3,3,2.37,-0.63,16717,1
ORD0222,2026-01-24 06:03:41,West,Rail,104.0,646.6,2,1.58,-0.42,6484,1
ORD0345,2026-01-24 10:59:53,East,Road,87.6,830.7,3,1.91,-1.09,7450,1
ORD0397,2026-01-25 07:20:21,North,Road,258.8,643.2,3,2.85,-0.15,10178,1
ORD0143,2026-01-25 10:03:38,South,Road,106.1,613.8,4,3.3,-0.7,6334,1
ORD0163,2026-01-25 13:21:30,North,Road,132.8,1056.0,2,1.98,-0.02,8780,1
ORD0315,2026-01-25 20:53:35,South,Road,156.0,428.0,3,2.79,-0.21,7029,1
ORD0351,2026-01-26 12:24:24,West,Road,158.6,100.0,3,2.01,-0.99,5594,1
ORD0473,2026-01-26 15:19:27,South,Air,152.7,511.1,2,1.08,-0.92,10651,1
ORD0134,2026-01-26 19:41:59,West,Road,224.2,805.5,4,3.01,-0.99,6984,1
ORD0144,2026-01-26 19:56:25,West,Road,71.6,693.8,3,1.71,-1.29,7282,1
ORD0008,2026-01-26 20:41:29,South,Road,171.3,281.3,5,3.29,-1.71,7679,1
ORD0236,2026-01-26 20:50:00,West,Rail,91.1,532.9,4,2.67,-1.33,4826,1
ORD0420,2026-01-27 06:17:22,South,Road,148.1,759.4,3,1.59,-1.41,11652,1
ORD0096,2026-01-27 14:43:55,East,Road,450.2,578.0,4,3.12,-0.88,18173,1
ORD0088,2026-01-27 16:23:33,East,Road,454.8,748.6,5,3.82,-1.18,17887,1
ORD0055,2026-01-29 02:33:08,East,Road,233.8,460.4,3,2.92,-0.08,7144,1
ORD0436,2026-01-29 10:33:04,North,Road,173.4,567.7,3,1.9,-1.1,8092,1
ORD0358,2026-01-29 14:43:09,South,Road,176.5,622.5,3,2.04,-0.96,8886,1
ORD0230,2026-01-29 18:06:53,North,Road,74.6,837.5,2,0.88,-1.12,5737,1
ORD0213,2026-01-30 09:24:08,East,Road,119.2,100.0,3,2.36,-0.64,5189,1
ORD0242,2026-01-30 11:53:41,East,Road,434.7,467.1,4,2.89,-1.11,13546,1
ORD0300,2026-01-30 14:37:11,South,Road,141.7,926.3,4,2.86,-1.14,9366,1
ORD0116,2026-01-31 10:45:08,West,Road,73.8,558.8,3,1.65,-1.35,5222,1
ORD0306,2026-01-31 17:48:58,East,Road,38.3,756.1,4,2.53,-1.47,6158,1
ORD0098,2026-01-31 18:28:25,South,Road,101.0,643.5,3,2.45,-0.55,6718,1
ORD0057,2026-01-31 19:44:06,West,Road,54.5,100.0,2,1.35,-0.65,3130,1
ORD0075,2026-01-31 21:39:55,North,Road,69.8,455.6,2,1.41,-0.59,4786,1
ORD0115,2026-02-01 07:10:38,East,Road,39.4,774.2,4,2.39,-1.61,3396,1
ORD0447,2026-02-01 13:37:03,South,Rail,91.4,789.9,3,2.14,-0.86,8537,1
ORD0070,2026-02-01 18:41:23,East,Road,307.7,1050.6,4,2.82,-1.18,12915,1
ORD0327,2026-02-01 21:23:43,West,Road,285.8,749.3,4,2.92,-1.08,11724,1
ORD0393,2026-02-02 09:38:07,South,Rail,72.6,704.3,2,1.15,-0.85,7033,1
ORD0106,2026-02-03 07:46:30,East,Road,402.2,580.6,4,3.72,-0.28,13689,1
ORD0394,2026-02-03 14:55:41,West,Road,97.7,725.7,3,2.09,-0.91,6587,1
ORD0231,2026-02-03 15:36:00,West,Air,69.3,322.7,2,1.08,-0.92,7376,1
ORD0455,2026-02-03 21:05:09,North,Road,203.0,286.7,3,1.67,-1.33,7860,1
ORD0205,2026-02-04 05:57:14,North,Rail,106.6,309.2,3,2.32,-0.68,6065,1
ORD0279,2026-02-04 16:09:25,North,Road,123.5,601.7,3,2.31,-0.69,6500,1
ORD0102,2026-02-05 06:27:42,North,Air,319.9,518.1,2,1.48,-0.52,15810,1
ORD0304,2026-02-05 15:39:49,West,Road,185.9,618.6,3,2.16,-0.84,10570,1
ORD0481,2026-02-05 15:46:01,West,Air,404.0,485.1,3,2.3,-0.7,21422,1
ORD0192,2026-02-07 16:33:35,North,Rail,143.1,833.6,4,3.42,-0.58,9839,1
ORD0045,2026-02-07 21:55:09,North,Road,236.4,812.1,3,2.59,-0.41,11653,1
ORD0191,2026-02-08 13:17:48,North,Road,253.1,700.3,3,2.21,-0.79,14326,1
ORD0199,2026-02-08 16:53:34,South,Rail,313.9,318.9,5,4.36,-0.64,10836,1
ORD0025,2026-02-08 17:06:09,West,Road,100.0,218.6,2,1.56,-0.44,4615,1
ORD0264,2026-02-08 21:20:11,West,Road,278.7,692.6,4,2.99,-1.01,12135,1
ORD0111,2026-02-08 23:10:12,West,Road,135.8,452.0,3,2.16,-0.84,7746,1
ORD0065,2026-02-09 04:22:37,North,Road,199.1,575.0,2,1.19,-0.81,9204,1
ORD0064,2026-02-09 04:27:39,West,Road,329.2,876.5,3,1.96,-1.04,15278,1
ORD0063,2026-02-09 13:04:24,South,Road,574.6,948.2,5,3.75,-1.25,19091,1
ORD0432,2026-02-09 19:10:18,South,Road,387.1,662.5,5,3.67,-1.33,13781,1
ORD0454,2026-02-09 20:41:24,North,Road,42.1,895.0,2,1.51,-0.49,4123,1
ORD0337,2026-02-09 21:02:56,North,Air,67.6,627.2,3,1.72,-1.28,4933,1
ORD0452,2026-02-09 22:42:36,East,Road,170.6,399.5,4,3.32,-0.68,10633,1
ORD0117,2026-02-10 10:44:39,East,Rail,141.9,759.3,5,3.8,-1.2,11795,1
ORD0349,2026-02-10 13:27:53,North,Road,39.8,530.8,3,2.13,-0.87,6389,1
ORD0228,2026-02-11 05:08:40,South,Road,191.7,144.5,4,3.04,-0.96,5350,1
ORD0093,2026-02-11 11:45:02,South,Rail,400.3,614.7,5,3.66,-1.34,17550,1
ORD0161,2026-02-11 16:37:59,South,Road,186.0,786.3,3,3.01,0.01,9060,0
ORD0339,2026-02-11 19:30:00,North,Road,305.5,578.3,3,2.71,-0.29,12150,1
ORD0371,2026-02-12 12:41:55,South,Road,193.1,253.3,4,2.26,-1.74,7037,1
ORD0156,2026-02-13 08:56:29,South,Rail,47.2,846.0,3,2.29,-0.71,7526,1
ORD0100,2026-02-13 15:01:55,West,Road,461.6,626.6,4,4.03,0.03,17892,0
ORD0444,2026-02-13 16:02:42,East,Road,178.3,702.8,4,2.9,-1.1,5671,1
ORD0278,2026-02-13 18:47:55,South,Road,482.4,496.0,4,2.9,-1.1,16528,1
ORD0440,2026-02-14 01:24:48,West,Road,120.5,400.8,3,1.96,-1.04,8229,1
ORD0148,2026-02-14 14:22:19,South,Road,40.1,830.1,4,2.12,-1.88,4656,1
ORD0474,2026-02-14 23:33:22,South,Rail,26.6,555.3,4,3.55,-0.45,2621,1
ORD0325,2026-02-15 02:27:10,North,Road,39.8,653.1,3,2.31,-0.69,4166,1
ORD0089,2026-02-15 06:09:57,North,Road,230.2,718.9,2,1.53,-0.47,9802,1
ORD0446,2026-02-16 18:42:56,South,Rail,132.8,477.1,3,2.33,-0.67,2526,1
ORD0074,2026-02-16 22:48:38,South,Rail,344.4,529.8,5,3.8,-1.2,14514,1
ORD0438,2026-02-17 11:43:42,West,Rail,92.2,673.6,3,1.88,-1.12,7809,1
ORD0384,2026-02-17 17:41:39,East,Rail,433.1,810.0,4,3.53,-0.47,16807,1
ORD0322,2026-02-17 20:41:54,North,Road,301.8,324.3,4,3.3,-0.7,9646,1
ORD0157,2026-02-17 22:46:47,North,Road,92.8,474.0,2,1.4,-0.6,2348,1
ORD0082,2026-02-18 02:14:59,East,Road,343.9,733.3,4,3.44,-0.56,13225,1
ORD0266,2026-02-19 07:13:42,East,Road,151.5,380.4,3,2.23,-0.77,7559,1
ORD0226,2026-02-19 10:07:50,North,Road,97.7,835.8,3,1.43,-1.57,9908,1
ORD0419,2026-02-19 18:55:54,East,Rail,155.5,826.3,5,4.38,-0.62,10993,1
ORD0006,2026-02-19 19:42:52,West,Road,62.0,672.7,2,1.51,-0.49,6843,1
ORD0238,2026-02-20 00:37:32,North,Rail,139.0,456.5,4,2.94,-1.06,6559,1
ORD0390,2026-02-20 02:06:16,South,Air,138.1,488.3,2,0.9,-1.1,10684,1
ORD0468,2026-02-20 04:24:28,West,Road,170.3,925.2,4,3.19,-0.81,6328,1
ORD0326,2026-02-20 04:39:47,South,Road,111.0,642.1,4,2.67,-1.33,4417,1
ORD0352,2026-02-20 06:02:27,East,Road,207.5,710.0,5,3.4,-1.6,8219,1
ORD0497,2026-02-20 09:12:07,North,Road,225.7,441.2,3,1.81,-1.19,8131,1
ORD0286,2026-02-20 14:28:13,East,Rail,437.9,526.8,6,4.72,-1.28,15782,1
ORD0383,2026-02-20 16:18:47,North,Rail,366.5,356.4,4,2.88,-1.12,17442,1
ORD0248,2026-02-21 04:34:40,North,Air,142.2,474.3,2,0.9,-1.1,9924,1
ORD0016,2026-02-21 18:21:11,North,Road,309.3,571.8,4,2.75,-1.25,13064,1
ORD0318,2026-02-22 03:44:19,North,Road,217.3,444.8,3,1.72,-1.28,8072,1
ORD0375,2026-02-22 06:18:08,North,Rail,387.6,394.9,5,3.74,-1.26,14548,1
ORD0023,2026-02-22 07:56:13,North,Road,484.6,728.7,5,3.71,-1.29,14753,1
ORD0018,2026-02-22 08:34:29,North,Air,100.3,386.1,2,1.04,-0.96,10617,1
ORD0154,2026-02-22 14:39:43,West,Road,177.5,780.3,2,0.9,-1.1,6854,1
ORD0207,2026-02-22 22:38:13,East,Road,109.4,646.2,4,3.14,-0.86,9740,1
ORD0041,2026-02-24 15:28:59,West,Road,261.7,1009.2,4,3.09,-0.91,14965,1
ORD0110,2026-02-25 06:09:43,North,Rail,91.3,400.4,2,1.61,-0.39,4334,1
ORD0141,2026-02-25 07:54:10,West,Road,248.1,815.8,3,2.35,-0.65,13742,1
ORD0466,2026-02-26 01:10:11,East,Road,228.4,739.0,4,2.81,-1.19,11956,1
ORD0367,2026-02-26 14:58:26,North,Rail,408.4,713.0,5,4.23,-0.77,14832,1
ORD0267,2026-02-27 09:40:17,West,Road,57.9,585.7,3,1.97,-1.03,6519,1
ORD0391,2026-02-27 10:22:20,East,Air,299.5,670.3,3,2.34,-0.66,17586,1
ORD0274,2026-02-27 11:10:50,East,Rail,88.8,805.1,3,2.55,-0.45,7147,1
ORD0020,2026-02-27 15:45:05,East,Road,258.8,342.5,3,2.5,-0.5,12373,1
ORD0077,2026-02-27 20:18:15,South,Road,530.4,503.1,4,3.55,-0.45,20776,1
ORD0289,2026-02-28 05:39:55,North,Rail,251.9,654.6,5,3.91,-1.09,10677,1
ORD0407,2026-02-28 16:55:48,South,Road,276.2,839.0,3,2.15,-0.85,12016,1
ORD0387,2026-03-01 02:33:19,South,Road,60.7,370.2,3,2.51,-0.49,9285,1
ORD0451,2026-03-01 09:06:37,North,Rail,338.1,479.3,4,3.64,-0.36,13866,1
ORD0411,2026-03-01 10:10:07,West,Rail,217.3,823.3,4,3.42,-0.58,11865,1
