Shipment_ID,Region,Transport_Mode,Priority,Distance_km,Shipment_Volume_kg,Traffic_Index,Weather_Risk_Index,Warehouse_Load_pct,Vehicle_Utilization_pct,Daily_Orders,Delivery_Time_days,Transportation_Cost,Promised_Days,Late_Flag
SHP1001,West,Road,Standard,700.0,425.7,32.4,22.3,72.2,95.1,314,12.77,569.0,5.0,1
SHP1002,South,Rail,Standard,253.9,269.6,51.9,7.2,90.5,68.1,206,10.81,336.07,5.0,1
SHP1003,West,Air,Express,148.0,384.2,79.9,16.2,84.9,75.5,334,6.86,409.41,3.5,1
SHP1004,East,Rail,Standard,121.0,140.0,85.2,20.4,73.2,95.9,289,12.03,283.72,5.0,1
SHP1005,North,Air,Standard,223.5,591.5,67.9,8.9,54.2,65.4,158,7.65,483.83,5.0,1
SHP1006,West,Rail,Standard,386.1,277.8,33.6,9.8,82.8,93.8,204,9.2,403.87,5.0,1
SHP1007,West,Air,Standard,700.0,684.7,63.8,17.2,47.0,72.1,218,9.54,738.25,5.0,1
SHP1008,West,Road,Standard,201.6,375.1,70.3,22.0,90.4,93.4,309,6.78,338.68,5.0,1
SHP1009,North,Rail,Standard,254.2,534.2,68.1,26.5,70.8,81.0,238,10.24,348.51,5.0,1
SHP1010,South,Road,Standard,580.9,372.0,69.1,22.9,30.9,75.7,221,13.19,529.86,5.0,1
SHP1011,South,Road,Express,288.9,375.4,61.5,18.6,63.2,71.2,197,9.89,315.52,3.5,1
SHP1012,West,Rail,Express,275.3,292.4,53.7,12.0,77.2,64.5,207,7.08,324.49,3.5,1
