Shipment_ID,Region,Transport_Mode,Priority,Distance_km,Shipment_Volume_kg,Traffic_Index,Weather_Risk_Index,Warehouse_Load_pct,Vehicle_Utilization_pct,Daily_Orders,Delivery_Time_days,Transportation_Cost,Promised_Days,Late_Flag
SHP1001,West,Road,Standard,700.0,425.7,32.4,22.3,72.2,95.1,314,12.77,569.0,5.0,1
SHP1002,South,Rail,Standard,253.9,269.6,51.9,7.2,90.5,68.1,206,10.81,336.07,5.0,1
SHP1003,West,Air,Express,148.0,384.2,79.9,16.2,84.9,75.5,334,6.86,409.41,3.5,1
SHP1004,East,Rail,Standard,121.0,140.0,85.2,20.4,73.2,95.9,289,12.03,283.72,5.0,1
SHP1005,North,Air,Standard,223.5,591.5,67.9,8.9,54.2,65.4,158,7.65,483.83,5.0,1
SHP1006,West,Rail,Standard,386.1,277.8,33.6,9.8,82.8,93.8,204,9.2,403.87,5.0,1
SHP1007,West,Air,Standard,700.0,684.7,63.8,17.2,47.0,72.1,218,9.54,738.25,5.0,1
SHP1008,West,Road,Standard,201.6,375.1,70.3,22.0,90.4,93.4,309,6.78,338.68,5.0,1
SHP1009,North,Rail,Standard,254.2,534.2,68.1,26.5,70.8,81.0,238,10.24,348.51,5.0,1
SHP1010,South,Road,Standard,580.9,372.0,69.1,22.9,30.9,75.7,221,13.19,529.86,5.0,1
SHP1011,South,Road,Express,288.9,375.4,61.5,18.6,63.2,71.2,197,9.89,315.52,3.5,1
SHP1012,West,Rail,Express,275.3,292.4,53.7,12.0,77.2,64.5,207,7.08,324.49,3.5,1
SHP1013,East,Air,Standard,520.5,397.9,44.0,9.4,64.7,72.9,295,9.44,684.53,5.0,1
SHP1014,West,Air,Standard,257.7,427.7,20.8,13.9,78.0,82.8,210,5.4,481.0,5.0,1
SHP1015,South,Road,Standard,127.8,262.4,61.1,21.3,56.1,71.8,184,8.28,226.87,5.0,1
SHP1016,North,Rail,Standard,463.2,361.2,58.3,20.7,49.7,68.2,173,9.36,473.61,5.0,1
SHP1017,East,Rail,Standard,78.9,288.5,65.0,1.2,67.0,69.0,174,7.22,239.69,5.0,1
SHP1018,North,Road,Standard,421.0,724.9,30.9,11.7,68.4,83.9,119,9.76,411.55,5.0,1
SHP1019,West,Road,Standard,242.5,366.5,66.6,27.6,63.1,86.7,161,4.74,293.37,5.0,0
SHP1020,East,Road,Standard,202.9,611.8,92.0,18.6,85.2,64.0,307,10.49,321.23,5.0,1
SHP1021,West,Rail,Standard,199.7,350.7,56.4,6.7,56.1,64.0,197,9.17,280.44,5.0,1
SHP1022,South,Road,Standard,223.0,418.9,53.9,36.8,72.4,76.6,256,10.13,286.99,5.0,1
SHP1023,West,Air,Express,185.3,181.8,60.6,17.8,69.0,90.3,70,2.68,412.66,3.5,0
SHP1024,West,Road,Standard,313.1,312.9,91.6,21.1,46.2,85.8,247,7.92,388.61,5.0,1
SHP1025,West,Air,Standard,189.3,411.6,36.6,21.2,49.5,57.0,200,6.07,377.63,5.0,1
SHP1026,North,Road,Express,58.6,617.9,58.7,15.1,68.2,68.8,179,5.46,206.47,3.5,1
SHP1027,South,Rail,Standard,243.6,413.3,40.6,12.2,95.7,60.8,222,10.8,283.19,5.0,1
SHP1028,North,Road,Standard,55.7,587.6,45.2,35.0,76.1,68.8,178,7.17,145.78,5.0,1
SHP1029,North,Road,Express,242.6,476.1,54.1,26.0,43.8,91.3,72,5.85,276.37,3.5,1
SHP1030,East,Rail,Standard,183.0,624.1,79.3,24.6,30.0,54.9,270,13.87,282.59,5.0,1
SHP1031,East,Air,Standard,404.0,371.1,87.4,22.6,78.3,52.6,226,11.85,624.38,5.0,1
SHP1032,West,Rail,Standard,208.0,738.5,63.1,10.0,66.7,62.1,190,11.72,294.92,5.0,1
SHP1033,South,Road,Standard,372.0,307.2,48.2,28.2,84.0,75.4,147,9.45,343.78,5.0,1
SHP1034,South,Road,Standard,348.7,265.0,95.0,11.3,55.7,79.4,114,8.67,436.13,5.0,1
SHP1035,South,Road,Standard,354.1,198.5,47.3,20.3,72.9,77.2,225,9.48,329.29,5.0,1
SHP1036,North,Road,Standard,212.5,729.7,44.7,4.9,79.8,86.1,315,8.14,273.3,5.0,1
SHP1037,North,Rail,Standard,252.0,502.9,23.1,1.7,61.7,50.8,223,8.23,274.36,5.0,1
SHP1038,South,Rail,Standard,308.3,329.9,80.1,20.5,62.0,86.3,120,13.32,419.08,5.0,1
SHP1039,North,Rail,Standard,256.5,567.4,72.4,11.5,68.4,68.3,225,12.39,390.48,5.0,1
SHP1040,East,Air,Standard,208.3,483.2,95.0,2.1,75.6,80.8,207,7.43,494.58,5.0,1
SHP1041,South,Rail,Express,135.7,674.9,30.0,22.3,67.8,56.1,266,9.78,265.18,3.5,1
SHP1042,West,Rail,Standard,245.3,147.8,81.2,35.0,81.6,72.1,249,11.75,340.6,5.0,1
SHP1043,East,Road,Standard,85.5,340.2,56.3,29.1,61.5,74.8,70,8.48,164.1,5.0,1
SHP1044,South,Road,Standard,52.3,310.6,69.5,15.9,49.4,85.9,245,4.58,141.7,5.0,0
SHP1045,West,Rail,Standard,115.6,83.9,25.3,18.1,95.7,53.0,145,8.58,241.15,5.0,1
SHP1046,West,Air,Standard,351.8,539.0,81.4,25.1,59.5,72.4,118,7.09,583.91,5.0,1
SHP1047,South,Road,Standard,278.5,339.4,69.2,27.0,60.0,59.0,198,10.53,301.02,5.0,1
SHP1048,South,Road,Standard,353.8,490.9,54.3,15.3,67.1,78.1,237,8.99,372.82,5.0,1
SHP1049,East,Rail,Express,157.0,734.0,66.6,18.3,68.9,81.3,103,5.46,286.6,3.5,1
SHP1050,North,Road,Express,426.9,327.0,41.2,20.4,62.6,87.4,256,6.35,360.86,3.5,1
SHP1051,North,Road,Standard,92.8,316.8,44.6,22.4,67.8,65.6,260,6.93,181.89,5.0,1
SHP1052,North,Air,Standard,118.5,397.8,46.7,16.9,67.4,83.1,213,5.04,344.93,5.0,1
SHP1053,West,Rail,Standard,422.8,528.1,21.7,17.0,70.4,88.3,154,13.22,392.67,5.0,1
SHP1054,East,Road,Standard,267.0,295.0,70.5,29.0,35.0,52.3,146,10.08,264.48,5.0,1
SHP1055,East,Air,Standard,354.9,285.4,76.4,27.7,94.3,79.3,277,10.51,486.13,5.0,1
SHP1056,West,Road,Express,279.2,538.6,42.4,21.8,65.9,83.5,112,5.78,299.59,3.5,1
SHP1057,South,Air,Express,171.4,436.8,61.3,31.8,76.1,68.9,279,7.63,407.76,3.5,1
SHP1058,East,Road,Express,109.0,80.0,50.2,14.9,48.7,57.5,199,4.83,148.1,3.5,1
SHP1059,North,Road,Standard,63.9,196.2,60.9,31.0,61.4,83.3,204,6.28,186.83,5.0,1
SHP1060,North,Road,Express,607.7,605.2,43.7,22.3,58.6,57.6,99,8.01,538.57,3.5,1
SHP1061,East,Road,Standard,76.6,440.3,39.1,44.2,88.6,69.9,200,11.14,186.66,5.0,1
SHP1062,South,Air,Standard,511.0,265.7,73.9,8.5,59.8,71.5,250,10.15,637.22,5.0,1
SHP1063,East,Road,Standard,258.6,354.4,53.9,12.5,78.6,80.6,123,8.18,271.23,5.0,1
SHP1064,West,Road,Express,284.1,382.0,91.4,21.4,58.9,64.5,242,7.19,355.45,3.5,1
SHP1065,East,Road,Standard,273.5,490.4,55.8,21.2,61.7,63.8,216,10.68,274.03,5.0,1
SHP1066,East,Rail,Express,330.4,176.3,38.3,33.6,64.6,73.2,168,10.15,377.77,3.5,1
SHP1067,East,Rail,Standard,147.4,253.9,77.1,12.7,86.0,84.1,266,10.8,240.8,5.0,1
SHP1068,South,Air,Express,46.5,420.9,66.4,25.2,41.5,99.4,70,1.2,361.6,3.5,0
SHP1069,North,Road,Standard,169.2,365.0,68.1,27.3,49.6,53.9,233,8.38,239.55,5.0,1
